url,chunk_number,content
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,0,"Search Resources My saved items [LINK: /students/bookmarks?entityTypes=faq&entityTypes=infopage&entityTypes=document&entityTypes=video&entityTypes=link] Keywords Search Resources Relevance Newest Title Student Success Colouring Book [LINK: /students/docs/detail/310?filename=Student-Success-Colouring-Book_DIGITAL.pdf] Colouring book Save Creative Industries Resume, Chronological Style [LINK: /students/docs/detail/309?filename=Graphic-Design-Resume.pdf] A strong resume is key to landing interviews. This chronological style resume for a student or new grad seeking employment in the creative industries is an example of how to present skills and experience with confidence and clarity. Save Student Success Services [LINK: /students/infoPages/detail/34/student-success-services] Overview of all Student Success Services Save Discontinuance and Reapplying [LINK: /students/infoPages/detail/53/discontinuance-and-reapplying] definition of discontinuance and reapplying Save"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,1,"definition of discontinuance and reapplying Save Who is the Placement Officer/Contact for my program? [LINK: /students/infoPages/detail/24/who-is-placement-officer-conta] Alphabetical list of programs with assigned Placement Officer Save Health & Life Sciences Resume, Chronological Style, Sample #1 [LINK: /students/docs/detail/308?filename=PSW-Resume.pdf] A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment in the health and life sciences sector is an example of how to present skills and experience with confidence and clarity. Save WIL Nurse Support Program Contacts [LINK: /students/infoPages/detail/27/wil-nurse-support-program-cont] WIL Nurse Support Program Contacts Save Part-Time Job Resume Sample [LINK: /students/docs/detail/67?filename=Part-Time-Resume-Sample-Aug23.pdf] A sample resume appropriate for a student seeking part-time employment. For more resume examples, visit our ‘Resume Samples’ topic area."
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,2,"A sample resume appropriate for a student seeking part-time employment. For more resume examples, visit our ‘Resume Samples’ topic area. Save Chronological Resume Sample [LINK: /students/docs/detail/70?filename=Chronological-Sample-Resume-July23-%281%29.pdf] A sample resume using the chronological resume format. For more resume examples, visit our ‘Resume Samples’ topic area. Save How to create a resume on VMock (overview) [LINK: /students/videos/detail/35/how-to-create-resume-on-vmock-] Learn how to use templates found on VMock to create a resume. Save Post-Graduate Chronological Sample Resume [LINK: /students/docs/detail/154?filename=Post-Grad-Chronological-Sample-Resume-July23.pdf] Sample of a chronological resume for an individual who completed a post-graduate certificate at College. For more resume examples, visit our ‘Resume Samples’ topic area. Save Understanding Transferrable Skills [LINK: /students/docs/detail/88?filename=Understanding-Transferrable-Skills-Tip-Sheet.pdf]"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,3,"Save Understanding Transferrable Skills [LINK: /students/docs/detail/88?filename=Understanding-Transferrable-Skills-Tip-Sheet.pdf] Understand more about how non-industry specific transferrable skills that are learned and developed in one situation can then be used and applied in another situation. Save Writing Accomplishments Statements [LINK: /students/docs/detail/15?filename=Accomplishment-Statements.pdf] Tips for how to write accomplishment statements to include on your resume. Save Computer Science and I/T Competency Style (functional) Resume Sample [LINK: /students/docs/detail/69?filename=IT-Competency-Resume-July23.pdf] A sample resume for those seeking employment in the computer science or IT sector using a competency based (functional) format. For more resume examples, visit our ‘Resume Samples’ topic area. Save Action Verbs to Use in a Resume [LINK: /students/docs/detail/6?filename=Action-Verbs.pdf]"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,4,Save Action Verbs to Use in a Resume [LINK: /students/docs/detail/6?filename=Action-Verbs.pdf] The best resumes include lots of action verbs to describe your skills and work experience. This resource will help you identify action verbs to use in your resume. Save How to log in to VMock resume and interview practice tool [LINK: /students/videos/detail/33/how-to-log-in-to-vmock-resume-] Learn how to log into VMock - a resume and interview practice tool for full-time students. Save How to Upload a Resume to VMock (overview) [LINK: /students/videos/detail/34/how-to-upload-resume-to-vmock-] Step by step instructions for how to upload your resume to VMock. Save Creating a new resume using VMock (detailed instructions) [LINK: /students/videos/detail/36/creating-new-resume-using-vmoc] This video provides detailed instructions on how to make a new resume using VMock. Save Resume Profile vs.
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,5,Save Resume Profile vs. Objective Statements [LINK: /students/docs/detail/9?filename=Resume-Profile-Statements-and-Objectives.pdf] This resource explains how to develop a profile statement for your resume. Save Highlights of Qualifications [LINK: /students/docs/detail/8?filename=Highlights-of-Qualifications.pdf] This resources provides examples of qualifications to include in a resume. Save Transferrable Skills Checklist [LINK: /students/docs/detail/89?filename=Transferrable-Skills-Checklist.pdf] Transferrable Skills Checklist Save Understanding the Job Posting [LINK: /students/docs/detail/43?filename=Understanding-the-Job-Posting.pdf] How to carefully review a job posting to assess the responsibilities and qualifications associated with the position to assess your fit and customize your application. Save Understanding Applicant Tracking Systems [LINK: /students/docs/detail/16?filename=Understanding-Applicant-Tracking-Systems.pdf]
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,6,"Save Understanding Applicant Tracking Systems [LINK: /students/docs/detail/16?filename=Understanding-Applicant-Tracking-Systems.pdf] Applicant Tracking Systems (ATS) are software programs used by employers that scan and store resumes and cover letters. This resource will help you understand how to format your resume so that it will work well with these systems. Save Resume Checklist [LINK: /students/docs/detail/11?filename=Resume-Checklist.pdf] Guide for reviewing your resume. Save References [LINK: /students/docs/detail/19?filename=Professional-References.pdf] Tips for developing references to support your job search. Save Portfolio Development [LINK: /students/docs/detail/77?filename=Portfolio.pdf] A professional portfolio can be a powerful job search, networking and interview tool. This resources explores the different types of portfolios and the benefits of using a portfolio to support job search. Save"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,7,"This resources explores the different types of portfolios and the benefits of using a portfolio to support job search. Save Functional Resume Worksheet [LINK: /students/docs/detail/13?filename=Functional-Resume-Worksheet.pdf] A tool to help you develop your resume using a functional format. Save Creating a CV - Curriculum Vitae [LINK: /students/docs/detail/14?filename=Curriculum-Vitae.pdf] A guide for developing a Curriculum Vitae. Save Components of a Resume [LINK: /students/docs/detail/5?filename=Components-of-a-Resume.pdf] It is important to determine which style of resume will best highlight your skills, qualifications and experience to the employer. This resource will help you understand the components of a resume and which style of resume is right for you. Save Chronological Resume Worksheet [LINK: /students/docs/detail/12?filename=Chronological-Resume-Worksheet.pdf] A tool to help you develop your resume using a chronological format. Save How can I get help with my resume?"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,8,"Save How can I get help with my resume? [LINK: /students/faqs/detail/33/how-can-i-get-help-with-my-res] Current students are encouraged to use the VMock platform to create a resume or receive feedback on a resume. Access VMock here and use your College email and password to gain access
Career Services also offers workshops, resume resources, and other resume support. Please visit the Career Services page for more information. Save Engineering & Technology Resume, Chronological Style [LINK: /students/docs/detail/305?filename=Chronological-Sample-Resume.pdf] A strong resume is key to landing interviews. This chronological style resume for a student or new grad seeking employment in engineering or technology is an example of how to present skills and experience with confidence and clarity. Save Computer Science & I/T Resume, Competency-Based (Functional) Style [LINK: /students/docs/detail/307?filename=IT-Competency-Resume.pdf] A strong resume is key to landing interviews."
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,9,"Computer Science & I/T Resume, Competency-Based (Functional) Style [LINK: /students/docs/detail/307?filename=IT-Competency-Resume.pdf] A strong resume is key to landing interviews. This competency-based (functional) resume for a student or new grad seeking roles in computer science or I/T is an example of how to present skills and experience with confidence and clarity. Save Community Services Resume, Chronological Style [LINK: /students/docs/detail/304?filename=ECE-Resume-Sample.pdf] A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment within community services is an example of how to present skills and experience with confidence and clarity. Save Health & Life Sciences Resume, Chronological Style, Sample #2 [LINK: /students/docs/detail/303?filename=Nursing-Resume.pdf] A strong resume is key to landing interviews."
